Abricot	crus	194	87.1	0.81	9.01	0.25
Abricot	secs	1010	24.7	2.88	59.1	0.5
Ananas	exotique	304	81.3	0.94	15.1	0.25
Banane	exotique	383	75.8	1.06	19.7	0.25
Canneberge	secs	1410	14.6	0.25	76.4	1
Cerise	crus	235	85.7	0.81	13	0.25
Citron	crus	118	91.3	0.25	1.56	0.25
Clementine	crus	200	87	0.81	9.17	0.25
CompoteMultiFruits	compote	279	82.9	0.25	15.3	0.08
CompotePomme	compote	432	72.9	0.23	24.4	0.21
Figue	crus	293	80.2	1.19	13.5	0.25
Fraise	crus	162	90.3	0.63	6.03	0.25
Framboise	crus	206	86.8	1.19	5.83	0.8
FruitCru	crus	251	84.5	0.7	11.6	0.26
Grenade	crus	340	79.4	1.44	14.3	1.2
Groseille	crus	289	82.1	1.56	7.06	0.7
Kaki	exotique	290	81.8	0.88	14.3	0.25
Kiwi	exotique	255	83.5	0.88	11	0.6
Lime	exotique	170	86.3	1.13	3.14	0.25
Litchi	exotique	344	80.5	1.13	16.1	0.25
Mangue	exotique	376	77.1	0.75	19.3	0.5
Maracuja	exotique	425	73.6	2.13	10.9	3
Melange	secs	1640	11.7	2.19	69.5	10.5
Melon	crus	265	84.2	1.13	14.8	0.25
Mirabelle	crus	325	78.1	0.63	18	0.25
Mure	crus	198	86.1	1.13	6.53	0.7
Myrtille	crus	244	84.2	0.87	10.6	0.33
NectarineBlanche	crus	220	86.5	0.81	11.4	0.25
NectarineJaune	crus	218	86.6	0.69	11.3	0.25
Orange	crus	192	87.3	0.75	8.03	0.25
Pamplemousse	crus	169	89.3	0.25	8.02	0.25
Papaye	exotique	178	88.8	0.75	8.53	0.25
Papaye	exotique	169	88.6	0.56	7.88	0.25
Pasteque	crus	165	91	0.69	8.33	0.25
PecheBlanche	crus	199	87.6	0.69	9.48	0.25
PecheBlanche	crus	195	87.6	0.63	9.63	0.25
PecheJaune	crus	196	87.8	0.69	9.8	0.25
PoireConference	crus	223	85.3	0.25	11.4	0.25
PoireWilliams	crus	228	84.7	0.25	11.5	0.25
PommeGolden	crus	242	85.1	0.25	12.8	0.25
PommeChantecler	crus	219	86.4	0.25	11.2	0.25
PommeGala	crus	230	85.5	0.25	11.9	0.25
PommeGrannySmith	crus	217	85.8	0.25	10.7	0.25
PommePinklady	crus	254	83.6	0.25	12.8	0.25
Prune	crus	301	80.1	0.94	16.4	0.25
Pruneau	secs	969	34.9	1.63	55.4	0.4
PureeDeFruits	compote	249	84.2	0.25	13.4	0.25
Raisin	secs	1360	16	3	73.2	0.9
RaisinBlanc	crus	311	80.9	0.75	16.6	0.25
RaisinChasselas	crus	335	79.4	0.75	16.9	0.5
RaisinNoirMuscat	crus	381	76.7	0.69	20	0.25
